class1name,class1id,class2name,class2id,is_subclass
accessory,0,accessory,0,1
accessory,0,adsign,1,0
accessory,0,adsignobject,2,0
accessory,0,anomaly,3,0
accessory,0,asteroid,4,0
accessory,0,attachment,5,0
accessory,0,bomb,6,0
accessory,0,bomblauncher,7,0
accessory,0,buildstorage,8,0
accessory,0,buildmodule,9,0
accessory,0,buildprocessor,10,0
accessory,0,bullet,11,0
accessory,0,cargobay,12,0
accessory,0,celestialbody,13,0
accessory,0,checkpoint,14,0
accessory,0,cluster,15,0
accessory,0,cockpit,16,0
accessory,0,collectableshieldrestore,17,0
accessory,0,collectableammo,18,0
accessory,0,collectabledata,19,0
accessory,0,collectableblueprints,20,0
accessory,0,collectablewares,21,0
accessory,0,component,22,1
accessory,0,computer,23,0
accessory,0,connectionmodule,24,0
accessory,0,controlroom,25,0
accessory,0,countermeasure,26,0
accessory,0,crate,27,0
accessory,0,crate_l,28,0
accessory,0,crate_m,29,0
accessory,0,crate_s,30,0
accessory,0,crystal,31,0
accessory,0,cutsceneanchor,32,0
accessory,0,datavault,33,0
accessory,0,defencemodule,34,0
accessory,0,defensible,35,0
accessory,0,destructible,36,0
accessory,0,detector,37,0
accessory,0,dismantleprocessor,38,0
accessory,0,dockarea,39,0
accessory,0,dockingbay,40,0
accessory,0,drop,41,0
accessory,0,effectobject,42,0
accessory,0,engine,43,0
accessory,0,entity,44,0
accessory,0,forceemitter,45,0
accessory,0,fogvolume,46,0
accessory,0,galaxy,47,0
accessory,0,gate,48,0
accessory,0,habitation,49,0
accessory,0,hackerprobe,50,0
accessory,0,highway,51,0
accessory,0,highwayblocker,52,0
accessory,0,highwaybooster,53,0
accessory,0,highwayentrygate,54,0
accessory,0,highwayexitgate,55,0
accessory,0,highwayscene,56,0
accessory,0,highwaytrigger,57,0
accessory,0,holomap,58,0
accessory,0,influenceobject,59,0
accessory,0,landmarkobject,60,0
accessory,0,lensflare,61,0
accessory,0,lock,62,0
accessory,0,lockbox,63,0
accessory,0,mine,64,0
accessory,0,miningnode,65,0
accessory,0,missile,66,0
accessory,0,missilelauncher,67,0
accessory,0,missileturret,68,0
accessory,0,moon,69,0
accessory,0,navbeacon,70,0
accessory,0,navcontext,71,0
accessory,0,npc,72,0
accessory,0,object,73,0
accessory,0,pier,74,0
accessory,0,planet,75,0
accessory,0,player,76,0
accessory,0,positional,77,1
accessory,0,processingmodule,78,0
accessory,0,production,79,0
accessory,0,radar,80,0
